     0/999     5.05G    0.1059   0.03156   0.09951     0.237        25       640   0.01754 5.552e-05  0.006332  0.001895   0.07666   0.04038   0.08562
     1/999     6.75G    0.0692   0.02994   0.07877    0.1779        27       640   0.02064   0.04185   0.01372  0.005307   0.07105   0.02426   0.07133
     2/999     6.75G   0.05825   0.02127   0.06838    0.1479        12       640   0.01115   0.05587   0.02735   0.01099   0.05777   0.01963   0.06323
     3/999     6.75G   0.05318   0.01814   0.06257    0.1339        15       640   0.01522   0.06142   0.04549   0.02226   0.06114   0.01646   0.05681
     4/999     6.75G   0.04998   0.01654   0.05763    0.1242        32       640   0.02324   0.06964   0.06302   0.03062   0.04572   0.01625   0.05266
     5/999     6.75G   0.04667   0.01601   0.05544    0.1181        34       640   0.01782   0.08403   0.06369   0.02681   0.05041   0.01552   0.04866
     6/999     6.75G   0.04496   0.01516   0.05002    0.1101        27       640   0.02365   0.09137   0.06654    0.0277   0.04761   0.01461    0.0454
     7/999     6.75G   0.05114   0.01519   0.05004    0.1164        11       640   0.03318   0.09179   0.07677    0.0291   0.05189   0.01457   0.04357
     8/999     6.75G   0.05175   0.01505    0.0478    0.1146        28       640   0.04047    0.1007   0.08819   0.05107   0.03987   0.01432   0.04077
     9/999     6.75G   0.04823   0.01457   0.04641    0.1092        21       640   0.04099     0.111    0.1051    0.0527   0.04169    0.0139   0.03836
    10/999     6.75G   0.04519   0.01359    0.0439    0.1027        15       640   0.05583    0.1125    0.1148   0.06726    0.0343   0.01359   0.03717
    11/999     6.75G   0.04395   0.01344   0.04065   0.09804        22       640   0.05795    0.1311    0.1201   0.06949   0.03797   0.01314   0.03455
    12/999     6.75G   0.04425   0.01367   0.03938    0.0973        13       640    0.1059    0.1435    0.1349   0.08613   0.03678   0.01333   0.03301
    13/999     6.75G   0.04047   0.01337   0.03934   0.09318        30       640    0.1096    0.1686    0.1602    0.1026   0.03351   0.01279   0.03136
    14/999     6.75G   0.04026   0.01321   0.03669   0.09016        43       640   0.09009    0.1931    0.1756    0.1089   0.03352   0.01328   0.03002
    15/999     6.75G   0.03735   0.01249   0.03445   0.08429        36       640    0.0914    0.1998      0.18    0.1045   0.03413   0.01306    0.0291
    16/999     6.75G   0.03716   0.01265   0.03407   0.08388        26       640   0.08824    0.2127    0.1929    0.1305   0.02909    0.0127   0.02799
    17/999     6.75G   0.03594   0.01198   0.03145   0.07937        19       640    0.1162    0.2175    0.2015    0.1329   0.03053   0.01251   0.02628
    18/999     6.75G   0.03372   0.01199   0.03251   0.07822        22       640    0.1153    0.2267    0.2036    0.1343   0.02992   0.01219   0.02517
    19/999     6.75G   0.03307   0.01208   0.03055   0.07569        17       640    0.1096    0.2257     0.208    0.1407    0.0283   0.01199   0.02424
    20/999     6.75G   0.03336   0.01183   0.02911    0.0743        30       640    0.1445    0.2366    0.2166    0.1424   0.02844   0.01205   0.02491
    21/999     6.75G   0.03222   0.01186   0.02837   0.07245        29       640     0.115    0.2361    0.2311    0.1553   0.02877   0.01178   0.02295
    22/999     6.75G   0.03168   0.01132   0.02793   0.07094        32       640    0.1348    0.2407    0.2289    0.1536   0.02941   0.01228   0.02294
    23/999     6.75G   0.03146   0.01131   0.02707   0.06984        17       640    0.1449    0.2581    0.2632    0.1892   0.02689    0.0119   0.02212
    24/999     6.75G   0.03099   0.01107    0.0276   0.06967        42       640    0.1503    0.2517    0.2748    0.2015   0.02603   0.01168   0.02188
    25/999     6.75G   0.03037    0.0117   0.02779   0.06986        25       640     0.153    0.2355    0.2546    0.1774    0.0264   0.01151   0.02115
    26/999     6.75G   0.03073   0.01149   0.02565   0.06787        22       640     0.157    0.2506    0.2681    0.1931   0.02666   0.01149   0.02041
    27/999     6.75G   0.03093   0.01131   0.02457   0.06681        23       640     0.218    0.2756    0.2828    0.2043   0.02595   0.01137    0.0204
    28/999     6.75G   0.03066   0.01107   0.02378   0.06552        32       640    0.1625      0.29    0.2843    0.1979    0.0258   0.01168   0.01997
    29/999     6.75G   0.02974   0.01103   0.02497   0.06574        47       640    0.1765    0.2845     0.309    0.2232    0.0253   0.01126   0.01919
    30/999     6.75G   0.02927   0.01114   0.02442   0.06483        21       640    0.1898    0.3126    0.3112    0.2313   0.02647   0.01129   0.01892
    31/999     6.75G   0.02987   0.01098   0.02392   0.06477        11       640    0.2232    0.3583    0.3356    0.2482    0.0248   0.01136   0.01873
    32/999     6.75G   0.02998   0.01066   0.02236     0.063        29       640    0.2297    0.3252     0.334    0.2365   0.02696   0.01174    0.0187
    33/999     6.75G   0.02903   0.01109   0.02407   0.06419        30       640     0.227    0.3273    0.3363    0.2507   0.02591    0.0113   0.01789
    34/999     6.75G   0.02949   0.01057   0.02055   0.06062        16       640    0.2268    0.3829    0.3414    0.2501   0.02482   0.01098   0.01765
    35/999     6.75G   0.02948   0.01049   0.02211   0.06208        20       640    0.2067    0.3857    0.3626     0.267    0.0255   0.01116   0.01764
    36/999     6.75G   0.02876    0.0103   0.02046   0.05953        24       640    0.2179    0.3831    0.3632    0.2714   0.02463   0.01139    0.0174
    37/999     6.75G    0.0289   0.01108   0.02188   0.06186        27       640    0.1851    0.3778    0.3664    0.2686    0.0259   0.01118   0.01694
    38/999     6.75G   0.02824   0.01044   0.02145   0.06013        29       640    0.2353    0.4071    0.3695    0.2679   0.02564   0.01112   0.01641
    39/999     6.75G   0.02852   0.01035   0.01938   0.05825        21       640    0.2323    0.4061    0.3683     0.278   0.02532   0.01123   0.01631
    40/999     6.75G   0.02912   0.01067   0.02011    0.0599        26       640    0.2118    0.4252    0.3769     0.279   0.02493   0.01137   0.01634
    41/999     6.75G   0.02805   0.01053   0.02122    0.0598        22       640    0.2251     0.412     0.372    0.2721   0.02499   0.01114   0.01557
    42/999     6.75G   0.02867   0.01039   0.01996   0.05902        14       640    0.2047    0.4254    0.3755    0.2852   0.02396   0.01121   0.01595
    43/999     6.75G   0.02753   0.01004   0.01977   0.05733        27       640    0.1812    0.3931    0.3548    0.2569   0.02525   0.01118   0.01546
    44/999     6.75G   0.02811   0.01055   0.01996   0.05862        24       640    0.2219    0.4446    0.4026    0.3007   0.02518   0.01115   0.01557
    45/999     6.75G   0.02762   0.01037   0.01924   0.05723        13       640     0.278    0.4768    0.4123    0.3129   0.02406   0.01104   0.01543
    46/999     6.75G   0.02744   0.01009   0.01898   0.05652        35       640    0.2209    0.4281    0.3999    0.2989   0.02409   0.01109   0.01516
    47/999     6.75G   0.02779    0.0104   0.01847   0.05666        32       640    0.2029     0.384    0.3848    0.2825   0.02367   0.01112   0.01527
    48/999     6.75G   0.02873   0.01028   0.01859    0.0576        25       640      0.22    0.4436    0.3993    0.2976   0.02608   0.01112   0.01517
    49/999     6.75G   0.02803   0.01024   0.01869   0.05696        32       640    0.2166    0.4617    0.4028    0.3082   0.02365   0.01123     0.015
    50/999     6.75G   0.02734   0.01007   0.01849    0.0559        22       640    0.2183    0.4732    0.4279     0.324   0.02355   0.01101   0.01487
    51/999     6.75G   0.02775  0.009979   0.01791   0.05564        31       640    0.2316    0.5004    0.3974    0.2946   0.02399   0.01139   0.01491
    52/999     6.75G   0.02668   0.01009   0.01784   0.05461        17       640    0.2317     0.472     0.409    0.3141   0.02329   0.01111   0.01472
    53/999     6.75G   0.02724  0.009907   0.01702   0.05416        31       640    0.2904    0.4942    0.4486    0.3422   0.02348   0.01091    0.0144
    54/999     6.75G   0.02704  0.009919   0.01657   0.05353        22       640    0.2254    0.4633    0.4404    0.3363   0.02358   0.01091   0.01419
    55/999     6.75G   0.02706  0.009828   0.01676   0.05365        21       640    0.2309    0.4942    0.4467    0.3377   0.02378    0.0113   0.01468
    56/999     6.75G   0.02663   0.01012   0.01674   0.05349        43       640     0.215    0.5293    0.4403    0.3338   0.02325   0.01091   0.01441
